t	x	y	theta	v	omega	v	omega
7.007	2.29309	2.23742	0.758335	0.50005	-0.0280045	0.5	0.134008
7.028	2.30071	2.24465	0.759894	0.49994	0.0849644	0.5	0.134008
7.048	2.30796	2.25154	0.761132	0.50004	0.0607027	0.5	0.134008
7.068	2.31519	2.25844	0.762319	0.500018	0.0588775	0.5	0.134008
7.089	2.32278	2.2657	0.763589	0.499958	0.0609819	0.5	0.134008
7.109	2.33	2.27262	0.764792	0.500056	0.0599335	0.5	0.134008
7.129	2.33721	2.27954	0.76598	0.500018	0.0593139	0.5	0.134008
7.15	2.34478	2.28683	0.767246	0.49995	0.060467	0.5	0.134008
7.17	2.35197	2.29377	0.768454	0.500092	0.060385	0.5	0.134008
7.191	2.35952	2.30108	0.769705	0.500024	0.0594619	0.5	0.12224
7.204	2.36705	2.30839	0.771769	0.49995	0.102355	0.5	0.12224
7.233	2.37457	2.31572	0.774494	0.500051	0.131116	0.5	0.12224
7.249	2.38171	2.32272	0.776893	0.499921	0.119951	0.5	0.12224
7.273	2.38918	2.33009	0.779441	0.499974	0.121677	0.5	0.12224
7.293	2.39629	2.33713	0.781881	0.500082	0.122055	0.5	0.12224
7.314	2.40338	2.34419	0.784311	0.499915	0.12142	0.5	0.12224
7.335	2.4108	2.35161	0.786867	0.499978	0.121769	0.5	0.12224
7.355	2.41785	2.3587	0.789302	0.500173	0.121743	0.5	0.12224
7.376	2.42524	2.36616	0.791845	0.499883	0.121039	0.5	0.0656239
7.396	2.43261	2.37364	0.794395	0.499996	0.116134	0.5	0.0656239
7.417	2.43961	2.38079	0.796709	0.500094	0.107509	0.5	0.0656239
7.437	2.44659	2.38794	0.798862	0.499903	0.109968	0.5	0.0656239
7.458	2.4539	2.39548	0.801172	0.500002	0.110023	0.5	0.0656239
7.476	2.46086	2.40267	0.803372	0.500162	0.109882	0.5	0.0656239
